"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hTSC_wt_1","hTSC_wt_2"
"FO538757.1",42.4479106841645,0.555617402762511,0.31534458480015,1.76193735216552,0.0780798828309797,0.473699383838494,1.2735951699449,1.46997142375552
"AP006222.1",19.0121640151107,0.471052878564934,0.519488039678206,0.906763664581624,0.364531788435313,0.800841645041519,0.727768668539943,0.565373624521355
"MTND1P23",404.554393416296,-0.0099581611452027,0.169613363456042,-0.0587109467219751,0.953182340156791,0.991536166970158,16.14736733323,19.3734695335984
"MTND2P28",1409.50465352138,0.0947098340702838,0.134196981525696,0.705752342515606,0.480342163963304,0.860368912266059,53.2635694287671,64.0002942958174
"MTCO1P12",3569.8494258677,-0.0932501777625832,0.13027360316966,-0.715802553193682,0.474113275674633,0.857156739864796,160.609448038409,167.237518133417
"MTCO2P12",2005.76592703283,0.0804781056324883,0.131740239619988,0.610884767362135,0.541275869896555,0.883203799592248,76.3702246549103,91.7789850472999
"MTATP6P1",15694.9658826328,0.142813149899482,0.136548710413782,1.04587695824235,0.295617843891101,0.758913255496983,570.161266259262,703.211714179661
"MTCO3P12",3086.45108683556,0.102258168055808,0.140490194804898,0.727866939026002,0.466695043070935,0.855471182578703,112.758658081907,143.001835428935
"AL669831.1",27.1553151746608,-0.205005177896633,0.383089743373281,-0.535136169638655,0.5925557005136,0.901516477045017,1.36456625351239,1.28151354891507
"LINC01128",383.142916080346,-0.100354911226613,0.181813354675788,-0.551966666065684,0.580971191634761,0.898039608149317,20.0136383848484,15.3781625869808
"LINC00115",24.7361877185031,0.159577252520907,0.419305024191855,0.38057557938512,0.703518204853388,0.939845810492189,1.04616746102617,0.942289374202258
"NOC2L",2091.21739527051,0.029117513026704,0.110653772181856,0.263140717686971,0.792442121299122,0.963018243964146,85.0579631356059,95.171226794428
"KLHL17",51.0570040140372,-0.235278385354223,0.307339824216932,-0.765531723569135,0.443954983461857,0.843794601921329,2.27427708918732,2.75148497267059
"ISG15",986.870850135221,0.358508799211001,0.154065188593103,2.32699419307401,0.0199655743159127,0.227610814889508,32.476676833595,38.7469390671968
"AGRN",154.229157778373,0.189053419295511,0.200697826022235,0.941980404284829,0.346202672580919,0.791401062031597,5.04889513799586,7.12370766896907
"AL390719.1",74.4518545098643,-0.584949245819066,0.299750668115026,-1.95145268398401,0.0510032195587779,0.384775254812806,5.32180838869833,3.39224174712813
"C1orf159",145.633753850538,-0.0662377774533543,0.249674854942043,-0.265296148740049,0.790781331112328,0.962633233460839,5.64020718118456,7.53831499361806
"SDF4",115.467206807001,0.366303006490317,0.255464076482997,1.43387286202136,0.151608547498761,0.612905038703705,3.45690117556473,4.82452159591556
