"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hTSC_wt_1","hTSC_wt_2"
"PER3",46.5140042086357,1.45208054491407,0.444973668323747,3.26329544483874,0.0011012465062376,0.0317628676571345,0.864225293891183,0.904597799234167
"NPPB",946.358185223257,1.51816141893196,0.195629405683424,7.76039478128717,8.46654208249793e-15,6.55263320840437e-12,14.2824601200964,20.1649926079283
"PADI4",62.3414314141522,1.66677770428759,0.382240789988234,4.36054379319093,1.29739611799709e-05,0.000941355485407163,1.13713854459366,0.942289374202258
"PLA2G2A",81.1729231114967,2.67890501571153,0.328636526974334,8.1515741429459,3.59217333630361e-16,3.84942821138812e-13,0.77325421032369,0.640756774457535
"Z98257.1",28.0268522953542,1.67105766192641,0.461232708963776,3.62302505752612,0.000291177602446297,0.0117576671874764,0.227427708918732,0.678448349425626
"CAMK2N1",66.2714378697013,0.992138039718014,0.289915789212043,3.42215938778128,0.000621258831818728,0.0207051597752792,1.9558782967011,1.39458827381934
"CDA",40.7671323201122,-1.10372117824684,0.323549214709323,-3.41129302149111,0.000646555680231094,0.0214456361459509,2.27427708918732,3.65608277190476
"TCEA3",201.966855453629,-0.731080424402133,0.173614374846128,-4.2109440825397,2.54305692794862e-05,0.00163259567111761,12.0991541144766,13.0789765139273
"ID3",3373.15085030495,0.732401471188493,0.16587968241569,4.41525725467159,1.00889937064646e-05,0.000776518073617447,96.2019208726237,101.164187214354
"SMPDL3B",951.40133860868,0.552118343235944,0.117382369923457,4.703588312248,2.55628448685627e-06,0.000256263061010063,33.3409021274861,28.4571391009082
"LAPTM5",255.15974205481,1.25865399483185,0.195390813054501,6.44172556096976,1.18122731774493e-10,4.11391944087614e-08,4.86695297086087,6.03065199489445
"SDC3",383.622871953744,0.755022597858803,0.172773023795623,4.37002595238441,1.24231770854562e-05,0.000910880420934162,11.6442986966391,10.5536409910653
"ZMYM6",171.41153545399,0.545486315854619,0.17166170403731,3.17768205153119,0.00148457454652785,0.0397723230916912,5.41277947226583,5.72911939514973
"CFAP57",96.8855418969032,1.08310048733365,0.348765817828982,3.10552362635707,0.00189942445940243,0.0473361040141953,2.00136383848484,2.60071867279823
"RAB3B",548.209329555659,-0.852783956401734,0.190461086271101,-4.47747082145634,7.55325472114626e-06,0.000618967008942874,39.6179068936432,32.6409039223662
"PLPP3",409.02943433792,0.514653121419169,0.157638221707005,3.26477370682177,0.00109551561526547,0.0316972338064228,14.5553733707989,12.5889860393422
"AK4",376.676797128272,-0.625101932016223,0.19022494107431,-3.28611973007279,0.00101577823628603,0.0300441753921459,24.7441347303581,20.1273010329602
"LEPR",38.888270976304,-1.46277911870692,0.367075926244504,-3.98494974506331,6.74944085262496e-05,0.00358879620297398,4.23015538588842,2.3368776480216
"PTGER3",16.8548287449336,2.15863517893714,0.654567573841878,3.29780341282014,0.000974443318313628,0.0291468924542868,0.181942167134986,0.226149449808542
"ADGRL2",607.833779649725,-1.0131408967493,0.181190794100825,-5.59156938285466,2.25026338987566e-08,4.01902811337921e-06,47.4869056222313,38.2569485926117
"CLCA2",130.706682158256,1.27997841057285,0.216427334084334,5.9141254776723,3.33643473026259e-09,7.87794444530307e-07,2.77461804880853,2.75148497267059
"EXTL2",1336.16358800659,-0.682025747819153,0.107233384477587,-6.36019977492837,2.01491517058491e-10,5.97229430668477e-08,84.3301944670659,78.8130832582768
"S1PR1",61.5107128990344,1.26179668432517,0.383675110500368,3.28871133360619,0.00100647192279007,0.0298322560774223,1.22810962816115,1.39458827381934
"KIAA1324",296.50707374128,1.15689417544887,0.197923425678135,5.845160427499,5.06080298239311e-09,1.1015944741831e-06,6.27700476615701,7.19909081890525
"HSD3B1",5513.87494946431,-1.10833576584953,0.130573925964081,-8.48818596566065,2.09887516819195e-17,3.24882555200912e-14,427.154722891163,380.797981902616
"ECM1",2272.15694025476,-0.940044083278528,0.174820320970287,-5.37720144924284,7.5652512919497e-08,1.20805832174428e-05,150.05680234458,160.26457676432
"MLLT11",174.339648903514,-0.573208735532574,0.183841567219925,-3.11794957038665,0.00182113961663763,0.0458221289285963,11.3258999041529,8.97059484240549
"CGN",248.245346823619,-0.637650257381321,0.150619436105702,-4.23351908537108,2.30062648214272e-05,0.00150469612782771,15.5105697482575,14.20972376297
"PRR9",10036.9897057842,1.74505352535592,0.310097260985321,5.6274393389064,1.82904452865971e-08,3.44329990929167e-06,158.153228782086,159.774586289735
