"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EVT_wt_1","EVT_wt_2"
"MTATP6P1",5055.17871928852,-0.525793494149509,0.149504977283381,-3.5168962512391,0.000436624407917781,0.00204933740206535,427.624901228848,427.497769407341
"KLHL17",14.0184719783317,-1.96883227428709,0.490949059948609,-4.0102577536113,6.06525001167897e-05,0.000358594605953651,1.88478696419248,2.2457200786027
"ISG15",1647.04905877304,-1.36583682904959,0.173136822931621,-7.88877146942345,3.05175775658292e-15,9.22369833155555e-14,237.871201863234,159.196601127613
"C1orf159",98.7542570767917,-0.651098155707492,0.257264382763037,-2.53085230343452,0.011378575073051,0.0335536069353606,10.4217632137702,7.29859025545877
"SDF4",118.812011994939,-0.537032962693159,0.177383665194835,-3.02752207822119,0.00246567701722693,0.0091512461982982,9.97828392807786,10.2305025803012
"MXRA8",629.438069462992,-0.732962725598745,0.102284781522586,-7.16590205002196,7.7276012549346e-13,1.79910302101068e-11,58.3729609792555,58.6382464968482
"ATAD3B",152.250812922093,0.650507477773214,0.200829398605778,3.23910484365958,0.00119905488501524,0.00494159764064769,6.76305910680833,7.17382802886973
"SSU72",1837.40714610314,0.648165637939228,0.0925958423698405,6.99994320857696,2.56066284157387e-12,5.64938381414334e-11,89.7491204419892,78.2882971846218
"TP73",12.1743335557639,-1.96529672877728,0.490945522322192,-4.00308514778044,6.25217872788029e-05,0.000367871537546165,1.7739171427694,1.80905228554106
"CEP104",171.093582017462,-0.597726367231343,0.176290190476968,-3.39058211698645,0.000697443568182962,0.00307239846376024,14.9119909814052,15.0338483039792
"DFFB",206.007481084051,-1.87247453570894,0.137856967076352,-13.5827341585998,5.06979677262553e-42,1.06782594523425e-39,28.1609346414642,31.0034133073761
"ACOT7",814.8336526655,-1.22750964013226,0.127498037420167,-9.62767478598142,6.10963010888276e-22,3.40321544908015e-20,96.5121795487975,89.8911842574024
"PLEKHG5",16.9945212418448,-1.42490226083725,0.545196211434514,-2.61355862522974,0.00896047094938017,0.0274578650597055,2.71631062486564,1.43476560577395
