name	BT5_hTSC_1	BT5_hTSC_2	mean_RPKM_BT5_hTSC	bagel_BF	bagel_FDR	Class	NSC_vs_TSC_LFC	NSC_vs_TSC_padj	AN_naive_TSC_rep1	AN_naive_rep1	H9_naive_TSC_rep1	H9_naive_rep1	AN_naive_TSC_rep2	H9_naive_TSC_rep2	AN_naive_TSC_rep1.1	H9_naive_TSC_rep1.1	AN_naive_TSC_rep2.1	H9_naive_TSC_rep2.1
AAGAB	39.5509668469845	43.8505124569069	41.7007396519457	2.834	0.032		-0.326029868316889	0.19204507284714	99.8609042181369	85.6404832940308	79.1527042779835	85.932316744149	112.585736460237	103.361404676356	99.8609042181369	79.1527042779835	112.585736460237	103.361404676356
AAMP	159.453262644979	160.746726341779	160.099994493379	4.604	0.02		0.117347930760169	0.518177392994246	539.5769678842	561.635988055706	460.846760699505	547.299962160149	472.57753556315	413.551305213274	539.5769678842	460.846760699505	472.57753556315	413.551305213274
AARS2	2.60048921657991	2.01240772416304	2.30644847037148	6.913	0.014		2.5723846171168	3.10480817312323e-13	26.6979255219742	160.797668256401	27.1339681533353	110.823056766592	14.6829022900786	16.3361144989508	26.6979255219742	27.1339681533353	14.6829022900786	16.3361144989508
AATF	15.754142254241	14.2876419560872	15.0208921051641	4.653	0.02		0.257661828934584	0.439761145790101	76.6488829501839	81.5546849698963	89.9201519578785	101.735961202843	51.095827213355	64.7405350938089	76.6488829501839	89.9201519578785	51.095827213355	64.7405350938089
ABCB7	18.484601368732	20.3792915492749	19.4319464590034	5.102	0.016		0.724749520575558	0.00229978702989048	57.0047872128174	91.3928572503782	43.0697907195799	103.958348704847	60.9685232549085	55.9836530148888	57.0047872128174	43.0697907195799	60.9685232549085	55.9836530148888
ABCF1	56.8430387359382	59.8466445049581	58.3448416204482	5.081	0.016		-0.240737907578445	0.370708329527478	189.797233971884	189.935861567992	244.062147410953	213.34920019237	194.22469146143	244.543481090117	189.797233971884	244.062147410953	194.22469146143	244.543481090117
ABHD17A	0.0263098117429371	0.0245028673369909	0.025406339539964	6.47	0.017		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABLIM1	9.74397111433797	7.78707379387024	8.7655224541041	4.328	0.019		1.80317614251655	1.9479066722517e-06	16.199202121628	39.6752521475171	9.52320928132934	52.1520267136904	15.3388395057866	7.70001700042969	16.199202121628	9.52320928132934	15.3388395057866	7.70001700042969
ABRAXAS1	0.404984019371592	0.510146500012168	0.45756525969188	3.197	0.033		0.791051842341853	0.0527260418123746	3.52691489230381	4.99972689663833	3.11059599641411	7.95120861828045	4.13745012985034	2.95922221977298	3.52691489230381	3.11059599641411	4.13745012985034	2.95922221977298
ACACA	4.12605665471485	3.61371614059105	3.86988639765295	3.131	0.033		-0.715060720776846	1.15066004598638e-05	107.406861662136	69.0822479804329	110.210808919103	74.3265153447955	104.596757550973	110.246125759093	107.406861662136	110.210808919103	104.596757550973	110.246125759093
