name	length	WIBR3_naive_TSC	AN_STB	AN_EVT	AN_naive_TSC	AN_naive	AN_primed_TSC	AN_primed	H9_STB	H9_capacitated_rep1	H9_capacitated_rep2	H9_EVT	H9_naive_TSC	H9_naive	H9_primed_StemPro	H9_primed_TSC	H9_primed
5_8S_rRNA	758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	1844	3	0	1	0	9	0	2	0	4	3	4	0	3	1	1	0
7SK	1870	12	2329	166	4	0	0	0	2233	1	4	150	12	4	2	0	1
A1BG	4006	3	2	0	2	0	27	4	2	4	2	16	3	0	9	33	17
A1BG-AS1	2793	111	130	103	103	29	158	57	117	50	22	118	65	10	67	166	57
A1CF	9603	1	0	0	1	0	1	4	0	3	5	1	0	0	0	8	6
A2M	6384	0	0	0	1	22	6773	10	0	16	36	0	0	35	21	113	16
A2M-AS1	2192	3	15	0	1	3	61	4	6	4	0	0	3	3	15	30	13
A2ML1	7303	149	18	83	304	94	0	151	46	469	104	48	281	104	277	1	256
A2ML1-AS1	452	3	9	3	4	9	0	0	3	3	8	3	7	17	1	0	1
A2ML1-AS2	386	2	0	0	4	0	0	6	0	6	3	2	2	2	2	0	4
A2MP1	4657	0	0	0	0	3	0	7	0	0	1	0	0	5	1	8	8
A3GALT2	1023	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	2943	1468	41	186	501	850	1	42	78	88	96	443	486	1364	144	12	63
A4GNT	1771	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
AA06	632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	4138	5816	1856	3758	3720	3810	3599	4263	1253	4258	2894	3698	2872	3994	5533	5777	5111
AACS	16094	176	177	265	414	642	294	553	162	627	627	593	213	425	463	473	312
AACSP1	3380	0	0	5	0	9	1	14	0	0	0	1	2	3	14	2	2
AADAC	1668	4	4	1	0	0	0	0	2	0	0	15	1	4	0	0	0
AADACL2	5071	18	0	7	11	0	0	0	1	0	0	20	9	0	0	0	0
AADACL2-AS1	635	156	30	107	151	16	0	0	26	2	2	245	159	47	0	0	0
AADACL3	4049	3	19	227	1	11	0	42	10	159	174	609	8	10	3	0	10
AADACL4	1575	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1
AADACP1	2012	24	3	10	13	2	3	0	2	0	0	32	21	1	0	1	0
AADAT	2981	100	25	596	95	173	310	186	29	167	168	624	147	137	236	403	154
AAED1	3084	1102	199	859	1070	119	576	289	190	141	107	995	630	95	426	797	394
AAGAB	3833	3281	2144	1396	2435	1593	3527	2337	1740	2433	1765	1195	1654	1740	2099	4123	2221
AAK1	23608	5553	3361	1990	4113	213	1428	520	2345	711	517	4880	3893	603	409	915	346
AAMDC	1943	201	31	125	190	345	452	203	14	289	214	251	94	195	325	483	299
AAMP	3140	15997	10159	6620	13157	10447	9096	11722	8420	10767	8051	6514	9630	11082	10534	9446	8529
AANAT	2190	2	1	1	1	3	0	4	4	6	1	0	0	3	11	0	3
AAR2	3101	3197	3544	1947	2198	2072	2888	3068	2192	2794	2289	1555	1654	1980	2809	3930	2679
AARD	2412	3	0	0	0	0	122	39	2	21	11	0	0	2	52	42	40
AARS2	4298	791	213	413	651	2991	458	601	209	651	524	692	567	2244	655	822	519
AARS	4498	17911	24202	15438	22434	12395	6669	13736	16756	16536	10838	8163	16825	12160	11093	7084	17617
AARSD1	3704	140	61	57	73	165	89	136	38	153	159	108	43	189	133	144	110
AARSP1	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	4654	396	408	265	449	463	286	389	309	461	278	285	352	702	714	606	542
AASDHPPT	6183	1419	946	1488	1289	1200	2161	1257	705	1574	929	1155	895	1339	1442	2566	1602
AASS	4591	1142	116	260	1230	2329	1792	12182	69	3733	1597	161	647	906	12187	4700	6818
AATBC	4874	25	2	5	18	5	6	7	6	13	9	11	9	6	4	11	14
AATF	4714	2485	1616	1503	1869	1517	1332	3065	1275	2567	2058	2109	1879	2060	2769	2871	2370
AATK	6225	1	10	0	8	0	0	7	7	2	1	2	8	0	13	5	20
AATK-AS1	1803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB015752.1	578	1	0	0	0	0	0	2	1	2	1	0	0	1	0	2	0
ABALON	1903	33	5	6	20	9	81	43	4	22	20	15	12	6	50	77	24
ABAT	9744	151	104	48	299	97	417	188	59	83	56	41	141	113	326	3019	294
ABBA01000935.2	838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01006766.1	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01006766.2	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01031660.1	756	5	0	0	1	1	0	0	0	0	1	6	1	0	0	0	0
ABBA01031661.1	1253	10	0	1	2	0	0	0	0	0	2	5	2	2	0	0	0
ABBA01031663.1	790	1	0	0	0	1	0	0	0	0	0	3	3	0	0	0	0
ABBA01031674.1	728	74	6	6	45	5	2	1	6	10	18	52	30	20	0	1	0
ABBA01040607.1	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA10	8405	0	0	1	0	2	16	0	0	0	1	1	1	0	0	4	0
ABCA1	11350	10	12	5	22	4618	19	456	15	885	577	21	14	5401	674	124	235
ABCA11P	2790	13	9	7	12	7	34	30	4	18	16	16	13	3	20	43	26
ABCA12	9416	122	51	89	211	1	2	2	73	4	15	1227	100	13	2	3	2
ABCA13	19074	4	20	0	1	49	3	0	18	1	4	2	0	59	2	1	0
ABCA17P	6574	5	13	0	2	10	0	5	10	8	4	0	4	15	2	3	2
ABCA2	11514	6	10	32	11	98	52	25	7	24	27	69	15	117	50	90	66
ABCA3	7804	9	36	4	79	121	25	52	31	38	38	3	26	61	145	503	138
ABCA4	8201	68	8	16	58	3	18	1	7	16	20	34	30	8	6	8	3
ABCA5	13158	162	174	111	157	49	97	64	193	20	43	288	112	48	318	241	23
ABCA6	14151	0	3	1	2	1	7	1	6	4	6	0	2	3	0	7	0
ABCA7	8367	478	184	628	410	292	98	82	97	62	51	1236	278	204	112	56	75
