"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","STB_wt_1","STB_wt_2"
"WASH7P",16.9039158750666,0.115420489830411,0.443957543645341,0.259980918181256,0.794878492713278,0.879552911933547,0.892976516453961,0.784044202382839
"FO538757.1",48.6392666624004,0.0080907075334738,0.28802282769321,0.0280905079582501,0.977589964639645,0.985942535221155,2.28205109760457,2.81333507913842
"AP006222.1",140.994852935059,0.0986449678488943,0.186657089731308,0.528482298694861,0.597164629821095,0.743702564585636,7.14381213163168,6.87191683264959
"AL669831.3",70.2941760272841,-0.169023035671641,0.245254472278095,-0.689174122296883,0.490713699488353,0.660293957021918,4.16722374345182,3.87410076471521
"MTND1P23",328.725062138908,0.177806237625754,0.137323487719994,1.29479843963988,0.19538977041562,0.361999304696712,14.188404650324,17.1567319580245
"MTND2P28",567.334954152373,0.30426813028288,0.112151334722812,2.71301390246398,0.00666743092669433,0.0283816316474151,23.6142678795603,26.8881041170115
"MTCO1P12",464.657813288725,0.126958257481671,0.1773726795659,0.715771210044226,0.474132632187448,0.646015489604228,21.1337775560771,24.397610768266
"MTCO2P12",409.899545131372,0.212106967821888,0.122302724524397,1.73427835435977,0.0828687061900439,0.197381039318441,18.8021166520028,19.554984812372
"MTATP6P1",3856.95486753264,0.18079696075755,0.0844293894560156,2.14139841496471,0.0322419226582278,0.0969278024889044,167.879585093345,199.562309630032
"MTCO3P12",389.745296665141,0.0142685994062546,0.141270872837463,0.10100170770992,0.919549104553985,0.954077628242771,17.1153832320342,23.4290855770872
"AL669831.1",31.1055471527149,0.0925164446836148,0.3138752812682,0.29475543378187,0.768180713294556,0.86143440615089,1.43868438762027,1.66032889916366
"LINC01128",297.497848414162,-0.164141628446977,0.120427607916049,-1.36299002601963,0.172885654029677,0.332016345187309,17.3634322643826,16.5110484972386
"LINC00115",30.5279837812774,0.835491280886048,0.348350212932683,2.39842333912253,0.0164658227552797,0.0583256152211349,1.09141574233262,0.922404943979811
"NOC2L",803.914774072064,0.262084856126307,0.118851546861642,2.20514467877651,0.0274439437319784,0.0861204582621351,37.9515019492933,35.3281093544268
"ISG15",3150.33522622943,-0.958853380819227,0.35264112627206,-2.71906283579494,0.00654671701444228,0.0279717308857147,274.391839583714,244.252829165854
"AL645608.4",16.8180565955635,-0.753944501160349,0.525498229144332,-1.43472320047205,0.151365990263189,0.303406216563184,1.33946477468094,1.19912642717375
"AGRN",26.0656157116031,-0.214981650876665,0.467657541063871,-0.459698886470653,0.645732368911045,0.778253171522903,1.33946477468094,1.70644914636265
"AL390719.1",159.605501267114,0.608720220461976,0.178036469562839,3.41907600143196,0.000628341735272584,0.00416251622735781,5.50668851813276,6.50295485505767
