name	Gene	day0	day6	day12	day18
Br_KDM1A_1	KDM1A	610.333333333333	595.5	86.5	1
Br_APP_2	APP	714.333333333333	794.5	640	928
Br_NCR2_4	NCR2	2794.66666666667	3929.5	2650	1487.5
Br_NSMCE3_3	NSMCE3	588.666666666667	1042	520.5	186
Br_CLTB_2	CLTB	814	1670.5	1358	720.5
Br_RRM2_1	RRM2	863	492	175.5	48
Br_TMIGD1_4	TMIGD1	579.666666666667	718	945.5	460
Br_RANGAP1_2	RANGAP1	1286.66666666667	453.5	314	35.5
Br_SLCO2B1_4	SLCO2B1	523	1078	877	287
Br_TRIM67_3	TRIM67	1099.66666666667	2151.5	1106.5	430.5
Br_ZNF569_4	ZNF569	869.333333333333	1601	1289	615
Br_NLGN4Y_3	NLGN4Y	1421.66666666667	3052.5	3155.5	2515
Br_PLGLB1_2	PLGLB1	649.333333333333	753	590.5	135
Br_SERPINB12_4	SERPINB12	834	969	617.5	117.5
Br_PRELID2_2	PRELID2	1391.33333333333	2448	2271	2679
Br_TRMT10B_3	TRMT10B	1043.66666666667	1311	1592.5	2785.5
Br_HCN3_1	HCN3	556.333333333333	799	742	1012.5
Br_RAB39B_4	RAB39B	652	1312	843.5	369.5
Br_EPG5_1	EPG5	2271	2931	1487	363.5
Br_GPRIN2_4	GPRIN2	1419.66666666667	3022.5	2814.5	1865
Br_SPZ1_1	SPZ1	495.333333333333	470	146.5	35
Br_DUSP23_4	DUSP23	1039.66666666667	1271.5	1057	728.5
Br_ZNF347_4	ZNF347	1185	2024.5	2226.5	2035
Br_PRR20E_4	PRR20E	2488.33333333333	3010.5	2020	1146.5
Br_CXCR1_3	CXCR1	1203.66666666667	2083.5	1984.5	1334
Br_STXBP3_3	STXBP3	516	856.5	1516	1210.5
Br_MAGEH1_3	MAGEH1	1340	1868	1456	671
Br_RHBG_3	RHBG	2302.33333333333	3651.5	3442.5	2262
Br_CYTIP_1	CYTIP	721.333333333333	1376.5	1895.5	1907.5
Br_NRBP1_3	NRBP1	1463.66666666667	1372.5	1220.5	662
Br_FKBP1A_2	FKBP1A	881.333333333333	851.5	415.5	92
Br_CAMSAP2_1	CAMSAP2	1864.33333333333	1850	1398.5	488
Br_TRIAP1_4	TRIAP1	605.333333333333	1055	926	453
Br_BLM_4	BLM	1158.66666666667	2261	1546.5	556.5
Br_PPIB_2	PPIB	371	334	151.5	130.5
Br_PCLAF_2	PCLAF	1058.66666666667	1197	1951	2304
Br_ACTL7B_3	ACTL7B	2217.33333333333	3367.5	3973.5	2815.5
Br_SAA4_1	SAA4	2556.33333333333	4876	6090	4363.5
Br_CCDC91_3	CCDC91	2279.66666666667	4435.5	4544	1910.5
Br_HMHB1_1	HMHB1	999.666666666667	2843.5	4421	3180.5
Br_PEAK1_3	PEAK1	2048	3759.5	3128.5	1583.5
Br_SLC22A14_1	SLC22A14	1720.66666666667	3339.5	3298.5	1820
Br_CYP3A4_3	CYP3A4	1373	2582.5	3035.5	2095
Br_POP7_4	POP7	959.333333333333	727	1338.5	1278.5
Br_DKKL1_4	DKKL1	761	676.5	924	1193.5
Br_ZNF99_2	ZNF99	854.666666666667	1345.5	1615.5	1027
Br_ATP13A2_4	ATP13A2	579.666666666667	1105.5	942	369
Br_REC8_1	REC8	517.333333333333	495	243.5	44
Br_ANKRD22_2	ANKRD22	394	289.5	349	85.5
Br_WIPF2_1	WIPF2	1316.33333333333	1358	787	251.5
Br_SIRPG_3	SIRPG	1468.33333333333	2472	2256.5	1107.5
Br_WDR26_3	WDR26	2021	2302.5	1376.5	726
Br_CCDC182_2	CCDC182	540	424.5	469	281.5
Br_HIST4H4_4	HIST4H4	1312	1304.5	1000	666
Br_KDM4C_3	KDM4C	1448.66666666667	2552.5	2913	1803
Br_CD82_3	CD82	1138	2242.5	2277	2194.5
Br_TRIM33_1	TRIM33	144.333333333333	203.5	88.5	24
Br_C19orf57_3	C19orf57	395	638.5	278	108
Br_CHRD_4	CHRD	1422.33333333333	2018.5	1784.5	1361.5
Br_SSTR4_4	SSTR4	1002.33333333333	2005.5	2372.5	1879.5
Br_SLC25A53_4	SLC25A53	2480	3704	3629	3952
Br_MAB21L3_3	MAB21L3	392	599.5	258	89
Br_NUDT16L1_1	NUDT16L1	1947.33333333333	2525	2147	1210.5
Br_HABP2_4	HABP2	1632.66666666667	3724.5	3394.5	1422.5
Br_TPST1_1	TPST1	201.333333333333	489	513.5	209.5
