name	geneName	logFC	AveExpr	t	P.Value	adj.P.Val	B	EVTvsCTB
ENSG00000167617.2_54465026_54473264	CDC42EP5	19.8529145977209	-17.0954379125069	158.886252739784	1.69904226423911e-40	9.97796550519702e-36	55.2599579421253	19.8529145977209
ENSG00000165178.9_75156639_75172044	NCF1C	18.41933798564	-17.3002345713756	129.182685772034	3.73853455125326e-38	1.09776459295725e-33	49.6597082275707	18.41933798564
ENSG00000183484.11_105049389_105065445	GPR132	20.1797195836108	-17.0487514859512	89.6427577415562	5.06257539648235e-34	9.91032884364063e-30	39.7824107244359	20.1797195836109
ENSG00000169418.9_153678637_153693992	NPR1	21.153839877165	-16.9095914440149	81.376774611145	6.26517924220824e-33	9.19837953392908e-29	37.1706173004193	21.153839877165
ENSG00000104856.13_45001430_45038198	RELB	18.9269759433209	-17.2277148631355	57.6973590265469	4.70724763147455e-29	5.52885063307212e-25	27.9060388598968	18.9269759433209
ENSG00000145990.10_13357830_13487662	GFOD1	20.3352869678463	-17.0265275739176	55.0928013316137	1.55643390448154e-28	1.52341156514145e-24	26.6646930560157	20.3352869678463
ENSG00000204414.12_63909597_63918838	CSHL1	19.0535193734749	-17.2096372302563	32.1947056946425	1.55260319449209e-22	1.30256754004196e-18	12.3301444131934	19.0535193734749
ENSG00000147100.10_74421461_74533917	SLC16A2	20.4491217897231	-16.4061000221836	12.7779693146319	9.74437522266241e-13	7.1532240462662e-09	-11.0352824491414	20.4491217897231
ENSG00000149212.11_95165513_95232541	SESN3	19.2331396295268	-16.6443479209691	12.1657681684491	2.93743222493183e-12	1.91673980303968e-08	-12.1742640768324	19.2331396295268
ENSG00000172638.12_65866441_65873592	EFEMP2	18.5281160320598	-16.6549691583132	11.5267057942795	9.70240046666076e-12	5.69792872205587e-08	-13.4068195935235	18.5281160320598
ENSG00000197415.11_157259742_157533619	VEPH1	21.9509334720251	-16.0142887586043	11.1744954880489	1.91157226031006e-11	1.02055367392027e-07	-14.1059671071634	21.9509334720251
ENSG00000196275.13_74796144_74851551	GTF2IRD2	18.7573175981518	-16.5853465894909	11.035653259719	2.5072765881702e-11	1.22704026827893e-07	-14.3855558818282	18.7573175981518
ENSG00000068078.18_1793293_1808872	FGFR3	17.2268197283597	-16.8666446100679	10.9477529137589	2.98055222079756e-11	1.34645300208291e-07	-14.5637422874837	17.2268197283597
ENSG00000067842.17_153517676_153582939	ATP2B3	17.1710548067809	-16.8220028227271	10.2043976399615	1.33504905854281e-10	5.60024471864596e-07	-16.1079904245872	17.1710548067809
ENSG00000106631.8_44138864_44141332	MYL7	20.5969367883122	-16.1642183726377	9.92396589442587	2.3925072601159e-10	9.36698492432177e-07	-16.708302054016	20.5969367883122
ENSG00000164626.8_39188973_39229450	KCNK5	-19.3508334556527	1.34047447497915	-9.80199478491308	3.09309993562208e-10	1.13530299949549e-06	-16.9724955727672	-19.3508334556527
ENSG00000034510.5_84905625_84906675	TMSB10	3.11192015662905	8.87263268857129	8.86374349760665	2.37847085921189e-09	8.21649753817274e-06	-19.0685253307484	3.11192015662905
ENSG00000277675.1_75225433_75234310	AC211486.5	21.9661774373697	-14.9875738890467	8.76952597774551	2.93782695967694e-09	9.58498688116377e-06	-19.2852948549292	21.9661774373697
ENSG00000021488.12_32830509_32869766	SLC7A9	20.7108107909217	-16.0283183654022	8.72969952857284	3.21331894579643e-09	9.93203061735722e-06	-19.3772713494391	20.7108107909217
ENSG00000267278.5_45247925_45268630	MAP3K14-AS1	18.7594604635716	-16.3946644553556	8.69580199663047	3.46863175571178e-09	1.01851168558843e-05	-19.4557175214538	18.7594604635716
ENSG00000111339.11_14825569_14843533	ART4	20.1707586228243	-16.1314402846803	8.64235346435007	3.91424539800908e-09	1.09462804518514e-05	-19.5797116435325	20.1707586228243
ENSG00000089685.14_78214186_78225636	BIRC5	-18.9368741924063	2.24540640145511	-8.44880178080922	6.082811053657e-09	1.48971558271546e-05	-20.0318242737661	-18.9368741924063
