"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AN_naive_TSC","H9_naive_TSC","AN_EVT","H9_EVT"
"7SK",88.1460964677261,-4.42530346856108,0.732994923916179,-6.03729074263976,1.56723198533523e-09,4.13897329040501e-08,0.163786964261029,0.573469357716231,7.75861871534941,5.99239062269168
"A2ML1",174.806440913509,1.95944740069545,0.533814070449769,3.67065521342385,0.000241929504762979,0.00212416638475139,12.4478092838382,13.4287407931884,3.87930935767471,1.91756499926134
"AADACL3",209.615007829637,-6.55528782011723,0.765795416985155,-8.5601032269488,1.12766507458702e-17,8.49930035992108e-16,0.0409467410652573,0.382312905144154,10.6096773999055,24.3291059281282
"AADAT",380.515766306363,-2.45268057800992,0.445065336987383,-5.5108326220414,3.57140218494739e-08,7.49826787374871e-07,3.88994040119944,7.02499963202383,27.856245508122,24.9283449903974
"AASS",548.805340740868,1.92009756308984,0.476121145216762,4.03279203702595,5.51180537518654e-05,0.000586876038996052,50.3644915102665,30.9195562035335,12.1520534095834,6.43183260168907
"ABAT",125.008693906577,2.09621565737555,0.559247157154074,3.7482812930921,0.000178050501293804,0.00164626156123892,12.2430755785119,6.73826495316571,2.24345601407694,1.63792010353573
"ABCA3",25.6883027501399,3.68122796623128,1.09140931574518,3.37291235572593,0.000743776235829427,0.0056343884697276,3.23479254415533,1.2425169417185,0.186954667839745,0.119847812453834
"ABCA7",631.950780568173,-1.54944324547416,0.376480331335765,-4.11560210855288,3.86169990250886e-05,0.000423266112075454,16.7881638367555,13.2853734537593,29.3518828508399,49.3772987309795
"ABCC2",168.622457270965,3.3082056788178,0.502650513941194,6.58152252323138,4.65654949026809e-11,1.54634326637219e-09,11.4241407572068,17.0129242789149,1.30868267487821,1.23842739535628
"ABCC4",92.2090484731937,3.3717388287376,0.58545442247851,5.75918243893932,8.4522310848952e-09,1.95846515086276e-07,8.92638955222609,6.78605406630873,0.701080004399043,0.639188333087113
"ABCC5",1401.75694813293,2.42219951213043,0.337304190505976,7.18105372037326,6.917616225489e-13,3.09355797603868e-11,106.379633287539,113.690300167243,20.0976267927726,15.9797083271778
"ABCD3",1119.39057532503,1.31893369842454,0.367192560409469,3.591940144304,0.000328225247563648,0.00279763019143196,82.5486299875587,66.7136019476549,30.5203495248384,21.7324033249618
