"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Day18Rep1","Day18Rep2","Day0_Rep_1","Day0Rep1","Day0Rep2"
"A1BG",1904.45551334318,0.842773471445703,0.174737747314748,4.82307620646872,1.41360930438467e-06,1.64394696461263e-05,105.444146235739,107.187077269118,72.6732055672739,74.4950596466047,61.9987040576898
"A1CF",1489.14906504077,0.480728333950832,0.348574321583927,1.37912721673356,0.167855533670921,0.316936781908341,96.9486463020538,50.6343861946139,65.6715719986419,59.3985229379177,60.9823318600228
"A2M",1057.8756204956,0.108752653045829,0.407554630858843,0.266841902438095,0.789590890128043,0.874247964635709,62.7667524512266,28.2763455372519,48.9801776877068,52.2970368226164,47.159669971751
"A2ML1",1176.53338053852,1.32525961754854,0.419382228270234,3.16002807990852,0.00157753934415379,0.00783831006436999,105.344199177696,46.108623639404,37.7588096022653,36.1658465077266,32.3206358858121
"A3GALT2",2768.33250036446,1.41341721193154,0.350639726336044,4.03096713170759,5.55478120426537e-05,0.000431610066044102,126.433028424843,235.494379795882,72.39188993282,81.0792189588046,87.1369764133214
"A4GALT",581.458688000285,-0.083365683537923,0.172378837607244,-0.483619014347151,0.628656277827456,0.761820604500655,23.3876115821449,22.6674945072909,29.2568259832122,28.829211845561,27.9841145090993
"A4GNT",1065.5272913777,0.427730426850553,0.284155411924951,1.50526933114869,0.132254846679878,0.269478122304796,41.2781349719054,61.7360430608127,42.2598597535287,44.4430753573494,48.8536236345294
"AAAS",765.134101646108,0.923195458958902,0.262207548552813,3.52085767192531,0.00043015343446436,0.00259404902510547,49.9735290216772,37.6760062288418,25.1933779299883,25.1138648051054,31.2365055416339
"AACS",1160.60559913079,0.447052895758077,0.152912779427467,2.92358099455078,0.0034603018870179,0.0152867500429677,58.7688701294924,54.5799227812072,49.2614933221607,50.7450564133121,46.6176047996619
"AADAC",1185.40503625476,0.298798192782406,0.206581842549637,1.44639136283534,0.148067463039609,0.290597028870458,60.2680760001427,49.3578890636573,56.8882727451348,47.7821847228222,52.3770472531085
"AADACL2",626.428644206023,0.992875833753519,0.45545609404856,2.17995948836214,0.0292604646429811,0.086591835072909,51.872523124501,21.661769495022,22.9428528543566,22.5272307895982,19.4465880486962
"AADACL3",810.790203707882,-0.629586346724993,0.162433119489095,-3.87597276162181,0.000106199564745034,0.00076815172661864,24.4870292206218,25.5299426191331,45.823191123279,44.3960456479765,46.4820885066396
"AADACL4",544.036019010475,-0.527837018536158,0.23689256011659,-2.2281705186367,0.0258691462181372,0.0787585343116024,15.7416616418283,19.4569108142787,31.1635208389557,27.7004988206125,30.8977148090782
"AADAT",1094.30592810391,0.370593865831382,0.397282632398189,0.932821713333652,0.350912028307007,0.524193727384368,71.2622523849117,32.9568350174263,46.3858223921869,45.7599072197893,49.5989632461519
"AAED1",819.671952349611,0.427411358360354,0.318626321401241,1.34141886483421,0.179784496020614,0.332235846196521,49.8735819636339,29.7849330556552,37.5712658459627,34.5198066796766,32.1173614462787
"AAGAB",794.853629936093,-1.08417218979105,0.221465753585889,-4.89543946292617,9.808628393934e-07,1.18112233576955e-05,17.2408675124786,21.661769495022,50.6993287871476,46.2772340228908,48.9213817810405
"AAK1",368.966373868667,-1.11059432414461,0.277582469713549,-4.00095267287839,6.30879760849076e-05,0.00048188263547616,10.3944940365089,7.50425586077548,22.2551924145802,24.1732706176482,21.5470905905414
"AAMDC",970.244061173968,0.415391776199247,0.151467178240644,2.74245404862096,0.0060981981592453,0.0243965725118733,46.5753290482032,47.0369851891906,42.634947266134,40.4455500606566,40.7904041997041
"AAMP",911.137448886137,-0.96915170941746,0.665201598263115,-1.45692931578634,0.145135892770183,0.286381972048207,39.6789820432117,8.08448182939214,48.9801776877068,58.0346613661049,56.9168430693546
"AANAT",1804.00832917318,0.654728557156238,0.329863888619709,1.98484459725465,0.0471617639569203,0.12485551483427,68.6136553467628,120.222820697372,66.5155189020038,76.3292183121461,69.519858320426
"AAR2",1555.16712357844,-0.168207934565503,0.265355803857585,-0.633895818822111,0.526148814459777,0.681778725449017,72.1617759073019,46.8048948017439,75.8927067171359,78.2104066870603,81.3097758133637
"AARD",676.882666003233,-0.0323710558624931,0.227356748905508,-0.142380008591462,0.886779852338331,0.935071517770904,23.9872939304051,30.6746128742008,33.0389584019822,33.108915398491,32.7271847648789
