"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Day_12_Rep_1","Day_12_Rep_2","Day0_Rep_1","Day0Rep1","Day0Rep2"
"A1BG",2045.33661504548,0.529744738508138,0.148313987410425,3.57177868222363,0.000354564987119602,0.00249470997296397,92.494437794614,102.334983366683,72.6732055672739,74.4950596466047,61.9987040576898
"A1CF",1734.216976767,0.384996002929063,0.197879448808605,1.9456088302603,0.0517017454980286,0.143424197432425,92.6419568341588,64.2605861015277,65.6715719986419,59.3985229379177,60.9823318600228
"A2M",1231.53035424537,-0.00329512618594705,0.279555295252268,-0.0117870283336024,0.990595529842211,0.995309767974941,62.1055156483772,33.5761562380482,48.9801776877068,52.2970368226164,47.159669971751
"A2ML1",1085.23795805458,0.65398222279436,0.196847738299466,3.3222745074137,0.000892868062256972,0.00548322368838622,60.7409645325874,47.2850812730408,37.7588096022653,36.1658465077266,32.3206358858121
"A3GALT2",2357.1665224951,0.537969542013678,0.141409578948757,3.80433592980731,0.000142185115857311,0.00112694654046055,107.172582229325,117.757524031049,72.39188993282,81.0792189588046,87.1369764133214
"A4GALT",738.616626915874,0.115052333222764,0.205477987660444,0.559925345448147,0.575530360003466,0.737125503088128,33.5605814964508,26.641367987925,29.2568259832122,28.829211845561,27.9841145090993
"A4GNT",1242.69833493499,0.336167550180053,0.175950026148284,1.91058539483674,0.0560578827408125,0.152493507096144,50.1933532051314,59.9497717838835,42.2598597535287,44.4430753573494,48.8536236345294
"AAAS",825.200098418491,0.632113181997084,0.268417858796359,2.35495948306722,0.0185247254266665,0.0641097870306601,32.3435494202059,48.9451464139969,25.1933779299883,25.1138648051054,31.2365055416339
"AACS",1423.37161639982,0.509286312964144,0.156998443636219,3.2438940232058,0.00117907606255023,0.0068995012992324,61.8104775692875,72.7215632715621,49.2614933221607,50.7450564133121,46.6176047996619
"AADAC",1386.77733378122,0.211896245566503,0.154931447473914,1.36767744070925,0.171413064363811,0.338620004754788,59.8189705354322,57.5667750492852,56.8882727451348,47.7821847228222,52.3770472531085
"AADACL2",684.397818052023,0.74221477449442,0.346329669080935,2.14308747057119,0.0321060753528936,0.0993400346848958,47.2060926543484,22.9999347755051,22.9428528543566,22.5272307895982,19.4465880486962
"AADACL3",1070.93470693098,-0.217820658508567,0.212000499588367,-1.02745351511671,0.304206963439105,0.498464875439738,31.6059542224817,44.0720519679644,45.823191123279,44.3960456479765,46.4820885066396
"AADACL4",693.292705841829,-0.277455855030672,0.219401514963938,-1.26460318688445,0.206013610088362,0.383598570260693,26.7747056773883,21.0453419482503,31.1635208389557,27.7004988206125,30.8977148090782
"AADAT",1301.25951030623,0.337898763025944,0.261310207366515,1.2930943893516,0.195978415415927,0.370362424940193,73.5751209729884,42.1174591407096,46.3858223921869,45.7599072197893,49.5989632461519
"AAED1",836.716634554262,-0.125995279074851,0.190448832418254,-0.661570236346454,0.508246687711541,0.686849568269024,32.9705053382715,28.7298370362247,37.5712658459627,34.5198066796766,32.1173614462787
"AAGAB",1081.42003918791,-0.450707531395696,0.153360829734944,-2.93886993292004,0.00329411282078416,0.0162217463247313,35.1095314116716,33.763582947511,50.6993287871476,46.2772340228908,48.9213817810405
"AAK1",547.939213077347,-0.107267217826719,0.287214599760359,-0.373474112793078,0.708795608812817,0.828668601222231,15.9320562708426,24.6867751606702,22.2551924145802,24.1732706176482,21.5470905905414
"AAMDC",1043.42101220019,0.0509374084069043,0.151504411476942,0.336210727531564,0.736711963907435,0.846361903876037,42.374844109255,40.4306187555445,42.634947266134,40.4455500606566,40.7904041997041
"AAMP",1035.85717661702,-1.31346006691956,0.404670556841479,-3.24575150011241,0.00117141043037928,0.00686294104793768,31.6797137422541,10.9778501256776,48.9801776877068,58.0346613661049,56.9168430693546
"AANAT",1843.0021068012,0.155970664537153,0.185028473791551,0.842954931968287,0.399253649649184,0.592939746752351,64.9083773997291,87.4747228307045,66.5155189020038,76.3292183121461,69.519858320426
"AAR2",2000.93493632043,0.0834796706276233,0.133166864789819,0.626880198459142,0.530737768105699,0.704698031321843,86.3355178936169,74.5422798777721,75.8927067171359,78.2104066870603,81.3097758133637
"AARD",815.17851294982,-0.0243699923150574,0.182118184451185,-0.133814162426979,0.893549527922074,0.939855478795975,29.0612507903333,33.5761562380482,33.0389584019822,33.108915398491,32.7271847648789
"AARS",2024.2039900539,-1.00930428295699,0.178131901943346,-5.66605011200068,1.46126805158673e-08,2.91696219411072e-07,42.8911607476619,54.7821496515523,103.899240991664,90.6262499614944,110.784569545708
"AARS2",562.115441602775,-1.44769293814907,0.378352837752339,-3.82630389862888,0.000130081685563912,0.0010477419623852,6.63835677951775,14.7263843149334,29.1317968123438,29.0643603924253,32.5239103253455
"AARSD1",951.534921010518,0.320766740989875,0.164500959617783,1.94993841820239,0.0511834593822495,0.142455846488213,42.2642048295963,41.6355047449481,33.6641042563243,33.4851530734738,37.1314642881028
"AASDH",1651.66167512093,-0.0723318304413346,0.223422561093348,-0.323744522877946,0.746131460207194,0.85334525937032,76.1935839249093,48.4364167740265,70.6414815406619,68.9925836499804,63.2183506948903
"AASDHPPT",1497.22654178761,-0.129987543640891,0.138885447254369,-0.935933506430073,0.349307424373714,0.544620312275403,55.8359564677215,54.2734200115819,61.5768666527009,66.500009053219,58.6785548786441
"AASS",1257.49003652082,0.320773147814227,0.232556007202595,1.37933718278359,0.167790817327696,0.333805979237252,67.5637201115362,43.536547083785,48.8864058095554,44.9604021604508,43.8395207927053
"AATF",753.109977068321,-0.831382616392091,0.288961051726829,-2.8771442082722,0.00401292159384021,0.0191141306117911,14.6412646748253,25.1419543122227,37.7275523095482,37.0594109858109,35.2342361857909
"AATK",1133.22293676329,-1.01290297011362,0.145205126106428,-6.97566950474743,3.0441759707986e-12,1.07759377189348e-10,27.5491806349987,27.0965471394775,55.9192966709045,58.646047587952,56.4425360437766
"ABAT",741.38796717098,-0.163515097970154,0.176773048877686,-0.925000157027866,0.354965825765633,0.549944253824608,27.1435032762503,26.5878174995071,30.8509479117847,32.3564400485253,30.0846170509446
"ABCA1",994.116768582128,0.20224284506895,0.390866318440735,0.517422032872386,0.604861582471014,0.757857824601155,22.7179320899052,60.8869053311975,35.5082845266336,38.3762428482509,39.0964505369257
"ABCA10",1369.3513171002,0.155170334481234,0.205388103640337,0.755498160462884,0.449950135650394,0.636837161422043,46.7635355357139,66.4026056382452,51.0431590070358,54.2722846162764,52.5125635461307
"ABCA12",1055.27660182901,0.247088630831948,0.388655523831893,0.635752268218943,0.524937902797905,0.700067278211129,24.5250403243295,65.7867750214389,37.1336637479232,38.8935696513523,42.2810834229491
"ABCA13",1654.98271213467,0.278054839879815,0.133478713160692,2.08313995015124,0.0372384687975562,0.111462122635196,75.787906566161,67.9555698023655,63.3897896302931,59.633671484782,60.6435411274671
"ABCA2",917.505431105883,0.00715493748264907,0.257028987247348,0.02783708389966,0.977792088739454,0.988203362088942,43.444357145955,28.0872311752094,33.3827886218703,36.1188167983538,40.7904041997041
"ABCA3",1739.75326947828,-0.0240807206813436,0.233065127427127,-0.103321852338776,0.917707532775319,0.954583451900537,51.1153472022867,82.4677521636272,65.9528876330959,70.2623858030476,74.8049937482946
"ABCA4",616.397322627082,0.155862762806382,0.310439862948979,0.502070711299078,0.615617781733256,0.765932474953481,32.5648279795232,18.5284689926071,22.4427361708829,25.7722807363253,22.7667372277418
"ABCA5",585.561439578795,0.18198029001368,0.381748064085068,0.476702587738933,0.633573919921372,0.777659792703157,33.8187398156543,15.2618891991128,23.7555424650014,24.0321814895297,19.1077973161405
