name	length	AN_naive_hTSC	BT5_hTSC_1	BT5_hTSC_2	H9_naive_hTSC
5_8S_rRNA	758	0	0	0	0
5S_rRNA	1844	0	2	0	3
7SK	1870	10	4	9	72
A1BG	4006	1	5	6	11
A1BG-AS1	2793	173	181	120	179
A1CF	9603	1	1	0	2
A2M	6384	2	14	6	4
A2M-AS1	2192	10	0	6	13
A2ML1	7303	656	227	264	751
A2ML1-AS1	452	18	8	12	26
A2ML1-AS2	386	7	3	0	8
A2MP1	4657	0	0	0	0
A3GALT2	1023	0	0	0	0
A4GALT	2943	444	437	474	474
A4GNT	1771	0	0	0	0
AA06	632	0	0	0	0
AAAS	4138	9592	12303	10087	8389
AACS	16094	1126	1230	1116	760
AACSP1	3380	0	62	30	0
AADAC	1668	5	1	2	7
AADACL2	5071	29	20	5	55
AADACL2-AS1	635	301	236	179	328
AADACL3	4049	17	20	33	36
AADACL4	1575	0	5	0	0
AADACP1	2012	28	28	15	49
AADAT	2981	264	0	2	423
AAED1	3084	1986	2207	1877	1766
AAGAB	3833	6694	9386	8939	6846
AAK1	23608	11063	7359	5011	14294
AAMDC	1943	501	479	441	296
AAMP	3140	28098	30999	26844	27391
AANAT	2190	0	3	2	1
AAR2	3101	5610	8678	7729	5661
AARD	2412	0	0	0	0
AARS2	4298	873	692	460	1082
AARS	4498	53329	26009	22713	51923
AARSD1	3704	207	363	213	146
AARSP1	453	0	0	0	0
AASDH	4654	1162	1114	981	1356
AASDHPPT	6183	3530	4143	3666	3312
AASS	4591	3539	2188	1831	2276
AATBC	4874	46	12	10	33
AATF	4714	3038	4598	3582	4288
AATK	6225	6	1	0	9
AATK-AS1	1803	0	0	0	0
AB015752.1	578	2	0	0	3
ABALON	1903	26	36	28	41
ABAT	9744	734	563	416	365
ABBA01000935.2	838	0	0	0	0
ABBA01006766.1	294	0	0	0	0
ABBA01006766.2	169	0	0	0	0
ABBA01031660.1	756	3	0	0	1
ABBA01031661.1	1253	2	1	3	1
ABBA01031663.1	790	1	0	0	0
ABBA01031674.1	728	33	48	40	72
ABBA01040607.1	321	0	0	0	0
ABCA10	8405	2	6	0	0
ABCA1	11350	24	37	51	86
ABCA11P	2790	23	36	18	23
ABCA12	9416	516	256	127	333
ABCA13	19074	11	0	1	12
ABCA17P	6574	3	1	0	3
ABCA2	11514	29	4	4	33
ABCA3	7804	97	26	23	73
ABCA4	8201	139	793	789	62
ABCA5	13158	400	197	152	409
ABCA6	14151	2	9	21	4
ABCA7	8367	448	332	221	388
ABCA8	11243	2	7	3	3
ABCA9	9139	0	5	1	13
ABCA9-AS1	2990	0	0	0	8
ABCB10	4256	657	320	290	713
ABCB10P1	2181	0	3	0	0
ABCB10P3	2166	0	0	0	0
ABCB10P4	2184	0	0	0	1
ABCB11	5151	0	3	0	0
ABCB1	5806	103	64	36	75
ABCB4	7494	24	73	43	12
ABCB5	9257	0	0	0	0
ABCB6	5205	251	157	121	264
ABCB7	2970	3625	3399	3219	3708
ABCB8	9336	786	575	605	1333
ABCB9	13291	227	200	183	307
ABCC10	8083	584	329	310	480
ABCC11	7245	9	7	7	10
ABCC12	7456	8	2	5	6
ABCC13	10722	1	0	2	0
ABCC1	7575	1516	1182	846	1625
ABCC2	6232	866	4576	4133	1205
ABCC3	9614	96	88	55	106
