# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A2ML1	unnamed (+5514)
AAGAB	unnamed (+75893)
AASDHPPT	unnamed (+879606)
ABCA5	unnamed (-67413)
ABCB8	unnamed (+15099)
ABCC4	unnamed (+24525)
ABCG1	unnamed (+73822)
ABCG2	unnamed (+123134)
ABCG5	unnamed (+34507)
ABHD17B	unnamed (-453), unnamed (+117099)
ABHD17C	unnamed (-191346), unnamed (+54421)
ABHD18	unnamed (-53033)
ABHD4	unnamed (+16126)
ABI3BP	unnamed (-42959)
ABLIM1	unnamed (+3220)
ABLIM2	unnamed (+193593), unnamed (+202325)
ABLIM3	unnamed (-10673)
ABO	unnamed (+36362)
ABTB1	unnamed (+73796)
ACACA	unnamed (-70230)
ACADVL	unnamed (-2705)
ACAN	unnamed (-153215)
ACAP2	unnamed (+56108)
ACAT2	unnamed (+415), unnamed (+1692)
ACBD4	unnamed (-2507)
ACOT11	unnamed (-118961), unnamed (-76381)
ACOX2	unnamed (-23665)
ACP6	unnamed (-87176)
ACSF3	unnamed (-17934)
ACSL3	unnamed (-104262), unnamed (-103758), unnamed (+98523)
ACSL4	unnamed (-93993)
ACSM2A	unnamed (+57394)
ACSM2B	unnamed (+67397)
ACSM6	unnamed (+79359)
ACTN1	unnamed (-100141), unnamed (-379)
ACTR3C	unnamed (+299394)
ACTRT1	unnamed (+83945)
ACTRT2	unnamed (-169260), unnamed (-112861)
ADAM10	unnamed (+280022)
ADAM18	unnamed (-5653)
ADAM32	unnamed (+471276)
ADAM9	unnamed (-282)
ADAMTS1	unnamed (+68021), unnamed (+68537)
ADAMTS16	unnamed (+164924)
ADAMTS18	unnamed (+136319)
ADAMTS20	unnamed (-123540), unnamed (-34988), unnamed (+228659)
ADAMTS3	unnamed (+169553)
ADAMTS9	unnamed (-923295), unnamed (+74730)
ADAMTSL2	unnamed (+12155)
ADAMTSL4	unnamed (+1211), unnamed (+2971)
ADAP2	unnamed (+26290)
ADAR	unnamed (-159873), unnamed (-106116)
ADARB1	unnamed (-187578), unnamed (+52882)
ADARB2	unnamed (+359975), unnamed (+504725), unnamed (+629770)
ADAT3	unnamed (-74)
ADCY10	unnamed (+91883), unnamed (+117822), unnamed (+151418)
ADCY2	unnamed (+171487)
ADCY8	unnamed (+144644), unnamed (+384751), unnamed (+543178)
ADCY9	unnamed (-20178), unnamed (+176555)
ADCYAP1	unnamed (+930045)
ADGRA3	unnamed (-519972)
ADGRB1	unnamed (+110575)
ADGRD1	unnamed (+482767), unnamed (+634084)
ADGRE1	unnamed (-103627), unnamed (+24132)
ADGRF1	unnamed (-64944)
ADGRG1	unnamed (+7496)
ADGRG2	unnamed (+98867)
ADGRG3	unnamed (-40693)
